,Question,Label,Model Response
10,어묵 콩나물찜 요리방법이 궁금해,0,어묵 콩나물찜을 만들기 위해 필요한 재료입니다: ['콩나물 (찜용): 1봉지 (350g)'  '사각 어묵: 4장'  '양파: 1⁄4개'  '대파: 1⁄4대'  '청양고추: 1개'  '쪽파: 5대'  '통깨: 약간'  '참기름: 1큰술'  '식용유: 약간'  '다시마 멸치 육수: 3⁄4컵'  '간장: 1+1⁄2큰술'  '참치액젓: 1큰술'  '고춧가루: 2큰술'  '맛술: 2큰술'  '설탕: 1큰술'  '다진 마늘: 1⁄2큰술'  '후춧가루: 약간'  '전분가루: 1큰술'  '물: 2큰술'] 조리 과정은 다음과 같습니다: ['Step 1: 콩나물은 다듬어 씻은 후 끓는 물에 약간의 소금을 넣고 2분 정도 데치고 찬물에 살짝 헹군 후 체에 밭쳐 물기를 빼주세요  어묵은 길게 채를 썰어주세요  (tip  콩나물은 데쳐서 찬물에 살짝 헹궈 사용하면 아삭한 식감을 살릴 수 있어요)'  'Step 2: 대파는 잘게 썰고 양파는 채를 썰어주세요  쪽파는 4cm 길이로 썰고 청양고추는 어슷하게 썰어주세요  볼에 양념장 재료를 넣고 섞어 양념장을 만들고  전분물 재료를 섞어 전분물을 만들어주세요 '  'Step 3: 달군 팬에 약간의 식용유를 두르고 잘게 썬 대파를 넣고 볶다가 불을 중약불로 줄이고 양파와 어묵을 넣어 볶아주세요 '  'Step 4: 양파가 반쯤 익으면 다시마 멸치 육수와 양념장을 넣고 바글바글 끓으면 콩나물을 넣어 섞어주세요 '  'Step 5: 전분물을 넣고 농도를 맞춘 후 마지막에 쪽파와 청양고추를 넣고 섞고  참기름과 통깨를 뿌려 맛있게 즐겨주세요 ']
11,해물 취나물된장국 요리방법이 궁금해,0,해물 취나물된장국을 만들기 위해 필요한 재료입니다: ['꽃게 2마리'  '키조개 1개'  '취나물 30g'  '된장 4큰술'  '청주 2큰술'  '물 4컵'] 조리 과정은 다음과 같습니다: ['Step 1: 꽃게는 앞부분의 껍질을 떼어내 뻘을 제거한 후 등딱지를 분리하고 속에 아가미를 제거한다  손질한 꽃게를 4등분하고 물기를 뺀다 '  'Step 2: 키조개는 소금물에 해감한 후 조개 사이로 숟가락을 넣어 껍질과 살을 분리한다  내장을 제거한 후 한입 크기로 썬다 '  'Step 3: 냄비에 물을 넣고 끓기 시작하면 꽃게와 청주  손질한 취를 넣은 후 된장을 풀어 끓인다 '  'Step 4: 꽃게 색이 변하면서 거의 다 익으면 손질한 키조개를 넣고 한소끔 더 끓인 후 그릇에 담아 낸다 ']
12,달걀샌드위치 레시피 알려줘,0,달걀샌드위치를 만들기 위해 필요한 재료입니다: ['곡물식빵 4장'  '달걀 3개'  '토마토 1개'  '적양파 또는 양파 1/4개'  '양상추 6장'  '오이피클 3큰술 (50g)'  '무순 한 줌'  '소금 약간'  '마요네즈 3큰술'  '머스터드 1/2큰술'  '소금 두 꼬집'  '후추 약간'  '마요네즈 1 1⁄2큰술'] 조리 과정은 다음과 같습니다: ['Step 1: 냄비에 물과 약간의 소금을 넣고 달걀을 15분간 삶아서 바로 찬물에 넣어 식힌 후 껍질을 벗겨주세요  토마토는 0 7cm 두께로 둥글게 썰고 키친타월로 물기를 제거해주세요 '  'Step 2: 적양파는 얇게 채 썰고 양상추는 한 장씩 뜯어서 찬물에 담갔다가 물기를 <unk>니트 모양으로 치댄 후 먹기 좋게 잘라주세요 '  'Step 3: 달걀흰자는 굵게 다지고  노른자는 체에 곱게 내려주세요  볼에 달걀  피클  소스 재료를 넣고 잘 섞어주세요 '  'Step 4: 스프레드 재료를 섞어 빵 한 쪽에 바른 후 양상추-STEP3-적양파-토마토-무순 순으로 올려주세요  빵으로 덮고 가볍게 누른 후 반으로 잘라주세요 '  'Step 5: 완성된 요리를 그릇에 담아 마무리해주세요 ']
13,낙지꼬치구이 요리방법이 궁금해,0,낙지꼬치구이를 만들기 위해 필요한 재료입니다: ['낙지: 3마리'  '꽈리고추: 20개'  '느타리버섯: 한 줌'  '밀가루: 1⁄4컵'  '굵은 소금: 1큰술'  '통깨: 약간'  '식용유: 약간'  '꼬치: 10개'  '고추장: 3큰술'  '고춧가루: 1큰술'  '간장: 1큰술'  '맛술: 1큰술'  '물엿: 1큰술'  '설탕: 1큰술'  '참기름: 1큰술'  '다진 파: 1큰술'  '다진 마늘: 1⁄2큰술'  '생강가루: 한꼬집'  '후춧가루: 약간'] 조리 과정은 다음과 같습니다: ['Step 1: 낙지는 내장과 먹물을 뺀 후 굵은 소금과 밀가루로 바락바락 문질러 씻은 다음 약간의 소금을 넣은 끓는 물에 살짝 데쳐주세요 '  'Step 2: 데친 낙지는 양념이 잘 베어들 수 있게 빨판 뒤쪽에 가로로 칼집을 넣고 6센치 길이로 잘라주세요 '  'Step 3: 느타리버섯은 끓는 물에 살짝 데쳐 찬물에 헹궈 물기를 제거하고 꽈리고추는 양념이 잘 밸 수 있도록 꼬치로 구멍을 2~3군데 뚫어 준비해주세요  볼에 양념장 재료를 넣어 고루 섞어주세요  (tip 기호에 따라 꽈리고추 대신 쪽파를 사용해서 만드셔도 돼요 )'  'Step 4: 낙지-느타리버섯-꽈리고추-낙지 순으로 두 번 반복해서 꼬치에 꿰어 양념장을 앞 뒤로 골고루 발라주세요 '  'Step 5: 달군 팬에 약간의 식용유를 두르고 낙지꼬치를 올려 중약불로 굽다가 양념을 앞 뒤로 덧발라 가며 구워주세요 '  'Step 6: 뾰<unk>한 꼬치씩 떼어내 양념장에 찍어 맛있게 즐겨주세요 ']
14,깍두기볶음밥 요리방법이 궁금해,0,깍두기볶음밥을 만들기 위해 필요한 재료입니다: ['깍두기: 1컵 (120g)'  '대패삼겹살: 180g'  '달걀: 2개'  '공기밥: 2공기'  '김가루: 약간'  '대파: 1대'  '쪽파: 1대'  '식용유: 적당량'  '통깨: 약간'  '진간장: 1/2큰술'  '설탕: 1/2큰술'  '올리고당: 1/2큰술'  '고춧가루: 1/2큰술'  '고추장: 1큰술'  '참기름: 1큰술'  '깍두기 국물: 4큰술'] 조리 과정은 다음과 같습니다: ['Step 1: 깍두기는 먹기 좋은 크기로 자르고  대파와 쪽파는 송송 썰어주세요 '  'Step 2: 달군 팬에 기름을 두르고 대파를 1~2분 정도 볶다가 대패삼겹살을 넣어 볶아주세요  양념재료는 모두 섞어주세요 '  'Step 3: 대패삼겹살이 반쯤 익으면 깍두기와 양념재료를 넣어 3~4분 정도 볶아주세요 '  'Step 4: 공기밥을 넣고 주걱으로 밥을 가르듯이 고루 섞어가며 볶다가 마지막에 참기름을 뿌려 주세요  다른 달군 팬에 기름을 두르고 달걀프라이를 만들어주세요 '  'Step 5: 그릇에 깍두기 볶음밥을 담고  통깨와 실파  김가루를 뿌려주세요  달걀프라이를 곁들여 맛있게 즐겨주세요 ']
15,새송이버섯 메추리알장조림은 어떻게 만들어?,0,새송이버섯 메추리알장조림을 만들기 위해 필요한 재료입니다: ['메추리알: 40개'  '새송이버섯: 3~4개'  '깨: 약간'  '다시마: 1장'  '멸치: 8마리'  '청양고추: 1개'  '마늘: 3쪽'  '물: 4컵'  '다시마물: 2컵'  '간장: 1/2컵'  '설탕: 1큰술'  '맛술: 2큰술'  '올리고당: 2큰술'  '후추: 약간'] 조리 과정은 다음과 같습니다: ['Step 1: 냄비에 국물재료를 넣고 끓이다가  끓어오르면 다시마를 건져내고 10분 정도 끓인 후 체에 걸러주세요 '  'Step 2: 냄비에 메추리알이 잠길 만큼 물을 넣고 약간의 소금과 식초를 넣은 후  8분 정도 삶고 찬물에 담가 껍질을 벗겨주세요  (메추리알은 냉장고에서 미리 꺼내 차지 않게 준비한 후 삶아주세요 ) 새송이버섯을 먹기 좋은 크기로 잘라주세요 '  'Step 3: 냄비에 양념 재료를 넣고 끓어오르면 메추리알을 넣고  간장색이 배어나게 조려지면 새송이버섯을 넣고 8분 정도 끓여주세요 '  'Step 4: 완성된 요리를 그릇에 담아 마무리해주세요 ']
16,어묵곤약조림은 어떻게 만들어?,0,어묵곤약조림을 만들기 위해 필요한 재료입니다: ['어묵 100g'  '곤약 50g'  '식용유 약간'  '다시마국물 1/2컵'  '다진마늘 1작은술'  '햇살담은간장 2큰술'  '물엿 1큰술'  '청주 1작은술'  '깨소금 약간'] 조리 과정은 다음과 같습니다: ['Step 1: 어묵을 1 x 3cm 정도로 썬다 '  'Step 2: 곤약은 어묵보다 조금 크게 썰어서 중간에 칼집을 내고 말아서 모양은 낸다 '  'Step 3: 곤약의 냄새제거를 위해 끓는 물에 살짝 데친다'  'Step 4: 햇살담은간장  다시마국물  다진 마늘  물엿  청주를 넣어서 양념장을 만든다 '  'Step 5: 조림냄비에 식용유를 살짝 두르고 어묵을 넣고 살짝 볶는다 '  'Step 6: 데친 곤약을 넣고 양념장 2/3를 넣고 센불로 조리다가 남은 양념장 넣어준다 '  'Step 7: 약한 불에서 5분 정도 졸인 후 불을 끄고 깨소금을 뿌려준다 ']
17,사천식자장면은 어떻게 만들어?,0,사천식자장면을 만들기 위해 필요한 재료입니다: ['돼지고기안심 40g  해삼 1마리  새우작은것 10개  표고버섯 2개  생면 200g'  '양파 1개  호박 12개  녹말 4큰술  죽순 약간  홍고추 1개  파기름 약간  청주 1큰술'  '다진생강다진것 약간  마늘 약간  굴소스 2큰술  두반장 2큰술  간장 2작은술  육수 12컵  고춧기름 5큰술  참기름 약간'] 조리 과정은 다음과 같습니다: ['Step 1: 돼지고기  해삼  새우  표고버섯  죽순  호박  홍고추  양파를 사방 1cm 크기로 썬다 '  'Step 2: 팬에 파기름을 두르고 다진 생강  양파를 넣고 볶는다 '  'Step 3: 번에 청주  굴소스  간장  두반장  설탕  육수를 넣고 의 재료를 넣어 볶는다 '  'Step 4: 에 녹말물을 넣어 걸쭉하게 한 뒤 참기름과 고춧기름을 넣고 삶아 놓은 생면 위에 얹는다 ']
18,해물순두부찌개 레시피 알려줘,0,해물순두부찌개를 만들기 위해 필요한 재료입니다: ['두부 1팩'  '미더덕 약간'  '바지락 약간'  '잔새우 약간'  '계란 1개'  '다시마(10cm x 10cm) 1장'  '멸치 한줌'  '양파 1/2개'  '청정원어장 2큰술'  '고춧가루 1~2큰술'  '깨소금 약간'  '참기름 약간'] 조리 과정은 다음과 같습니다: ['Step 1: 뚝배기에 2cm x 2cm로 썬 양파  다시마  멸치를 넣어 약불에서 끓이다가 끓기 시작하면 다시마와 멸치를 건져낸다 '  'Step 2: 국물이 끓으면 해감 시킨 바지락과 씻은 미더덕  잔새우를 넣어 바지락의 입이 벌어지면 순두부와 고춧가루를 넣어준다 '  'Step 3: 새우젓국으로 간을 맞추고 계란과 약간의 참기름  깨소금을 넣어 불에서 내린다 ']
19,상하이 볶음 쌀국수는 어떻게 만들어?,0,상하이 볶음 쌀국수를 만들기 위해 필요한 재료입니다: ['쌀국수반 줌불린 쌀국수 250g'  '알새우8개'  '양배추잎장60g'  '청경채2개'  '당근30g'  '홍고추1개'  '달걀1개'  '식용유큰술'  '다진 생강작은술'  '물컵'  '간장1큰술'  '굴소스1큰술'  '노두유1작은술'  '설탕큰술'  '스리라차1작은술'] 조리 과정은 다음과 같습니다: ['Step 1: 쌀국수는 물에 불리고 양배추  청경채  당근  홍고추는 먹기 좋은 크기로 썰어 달걀과 함께 준비해 주세요 '  'Step 2: 팬에 식용유 2큰술을 두르고 달걀과 새우를 함께 잘 섞이도록 볶아서 따로 체에 걸러 놓습니다 '  'Step 3: 분량의 재료를 섞어서 소스를 만들어 주세요 '  'Step 4: 달궈진 팬에 식용유를 두르고 다진 생강을 볶아 향을 내주고 물에 불린 쌀국수를 볶아가며 소스를 넣고 졸여주세요 '  'Step 5: 소스가 졸여지면 양배추  청경채  당근  홍고추를 넣고 볶아주세요 '  'Step 6: 잘 볶아진 쌀국수에 순서 2의 재료를 넣고 볶아서 잘 버무려주세요~    Tip  쌀국수는 따뜻한 물에 30분 정도 담가서 부드러워지면 사용해요  1cm 넓이의 쌀국수가 볶음 요리에 적합하답니다~']
20,유부쌈밥은 어떻게 만들어?,0,유부쌈밥을 만들기 위해 필요한 재료입니다: ['유부 8장  밥 1공기  깻잎 4장  깨 2큰술  날치알 50g  미나리 몇줄기  치커리 약간'  '물 34컵  설탕 2큰술  간장 1큰술  맛술 2작은술'  '물 2큰술  식초 2큰술  설탕 2큰술  소금 12작은술'] 조리 과정은 다음과 같습니다: ['Step 1: 유부는 한쪽을 잘라낸 뒤 끓는 물에 데쳐낸 다음 유부 조림장에 넣어 조린다 '  'Step 2: 냄비에 배합초 재료를 넣어 약한 불에서 설탕과 소금이 녹을 때까지만 끓여 식힌다 '  'Step 3: 밥이 뜨거울 때 배합초을 넣어 버무린 다음 통깨  깻잎을 채썰어 넣고 섞는다 '  'Step 4: 유부 속을 벌린 다음 의 밥을 동그랗게 만들어 넣고 입구를 미나리로 묶어 준 다음 치커리를 조금 올리고 날치알을 올려 마무리한다 '  'Step 5: '  'Step 6: ']
21,달래장김치 레시피 알려줘,0,달래장김치를 만들기 위해 필요한 재료입니다: ['달래 500g'  '통깨 약간'  '마늘 1/2쪽'  '생강 1쪽'  '고춧가루 1/3컵'  '진간장 3큰술'  '설탕 약간'] 조리 과정은 다음과 같습니다: ['Step 1: 달래는 뿌리부분을 자르지 말고 깨끗이 다듬어 흐르는 물에서 가볍게 씻은 후 소쿠리에 건져 물기를 없앤 다음 5cm 길이로 썰어 놓는다 '  'Step 2: 마늘  생강은 곱게 다져 준비한다 '  'Step 3: 고춧가루는 미지근한 물에 설탕을 조금 넣고 개어 놓는다 '  'Step 4: 개어놓은 고춧가루와 다진 마늘  생강을 분량의 진간장에 조금 넣고 1의 달래를 가볍게 버무려 통깨를 뿌린 후 그릇에 담아낸다 ']
22,버섯샐러드 레시피 알려줘,0,버섯샐러드를 만들기 위해 필요한 재료입니다: ['미니 새송이버섯 한 줌'  '느타리버섯 한 줌'  '만가닥버섯 한 줌'  '프랑크소시지 2개'  '양파 1/2개'  '비타민 약간'  '올리브오일 약간'  '소금 후추 약간씩'  '올리브오일 3큰술'  '발사믹식초 2큰술'  '올리고당 1큰술'] 조리 과정은 다음과 같습니다: ['Step 1: 미니 새송이버섯은 길게 이등분하고 느타리버섯과 만가닥버섯은 밑동을 자르고 먹기 좋게 찢어주세요  프랑크소시지는 어슷하게 썰고 양파는 굵게 채 썰어줍니다 '  'Step 2: 달군 팬에 올리브유를 두른 후  센불에서 버섯과 프랑크소시지  양파를 각각 노릇하게 2분정도 볶다가 약간의 소금과 후춧가루를 넣어주세요 '  'Step 3: 비타민은 먹기 좋은 크기로 잘라 찬 물에 잠깐 담갔다 물기를 제거해주세요  STEP 2가 식으면 비타민과 함께 그릇에 담고 발사믹 소스 재료를 잘 섞어 뿌려줍니다 ']
