Question,Predicted_Label
안녕?,2
날씨,2
오늘의 날씨는?,2
대체 음란찜이 뭐야?,2
오늘 냉장고에 뭐가 있을가,2
안녕?,2
안녕,2
안녕,2
너 뭐 할수있어?,2
오늘은 돼지고기 많이 썰어 넣은 얼큰한 김치찌개가 먹고 싶어,2
김치전 먹고싶어,0,김치전을 만들기 위해 필요한 재료입니다: ['김치 200g'  '계란 1개'  '햄 200g'  '실파 2뿌리'  '식용유 약간'  '소금 약간'  '후춧가루 약간'] 조리 과정은 다음과 같습니다: ['Step 1: 김치는 소를 털어내고 줄기만 길이 8cm  너비 2cm로 썰어 참기름을 고루 묻힌다 '  'Step 2: 실파는 깨끗이 씻어 송송 썬다 '  'Step 3: 계란은 잘 풀어 소금으로 간을 해 놓는다 '  'Step 4: 프라이팬에 기름을 두르고 김치를 볶다가 햄도 볶는다 '  'Step 5: 김치  햄  계란 순으로 얹은 후 실파를 뿌려 마무리한다 ']
"김치, 참치, 계란",0,김치를 만들기 위해 필요한 재료입니다: ['배추김치 1/4포기'  '실파 1/2단'  '밤 10개'  '갓 1/2단'  '미나리 1/3단'  '배 1/2개'  '대추 10개'  '소금 3컵'  '고춧가루 2컵'  '마늘 10쪽'  '생강 3쪽'] 조리 과정은 다음과 같습니다: ['Step 1: 배추는 고를 때 속이 꽉차고 묵직한 것으로 골라 큰 것은 4등분 작은 것은 2등분한다  농도가 15% 정도 된 소금물에 담갔다가 꺼낸 후 굵은소금을 뿌려 5~6시간동안 절여둔다 '  'Step 2: 잘 절여진 배추는 여러 개의 양푼에 물을 담아 순서대로 흔들어 씻은 후 물기를 빼고 심을 잘라 정리한다 '  'Step 3: 미지근한 물 1컵에 고춧가루를 넣고 잘 섞어 불린다 '  'Step 4: 무  배는 4~5cm 길이로 채썰고 밤  미나리  실파는 4cm 길이로 썬다 '  'Step 5: 깨끗이 씻어 껍질을 벗긴 마늘과 생강을 절구에 조금씩 넣어 가면서 곱게 찧는다 '  'Step 6: 불린 고춧가루에 갖은 양념을 넣어 버무리고 준비한 채소를 전부 넣어 속을 만든다 '  'Step 7: 물기를 잘 뺀 배추 사이사이에 섞은 소가 한쪽으로 몰리지 않게 골고루 넣고 겉 잎으로 아물린다 '  'Step 8: 물기를 말끔히 닦은 항아리에 아물린 배추 속이 위로 오게하고 꼭꼭 누른 후 양념국물을 붓는다 ']
"계란, 참치, 소세지",1,모든 재료가 포함된 요리: 참치주먹밥  참치주먹밥  삼색태극말이초밥
참치 주먹밥,0,참치 주먹밥을 만들기 위해 필요한 재료입니다: ['참치캔: 1캔 (150g)'  '밥: 2공기'  '단무지: 3줄'  '당근: 1개'  '오이: 1개'  '깻잎: 6장'  '청상추: 6장'  '맛살: 2개'  '판어묵: 2장'  '달걀: 4개'  '김밥용 김: 3장'  '통깨: 약간'  '참기름: 1큰술'  '소금: 1⁄2작은술'  '식용유: 적당량'  '간장: 1큰술'  '맛술: 1큰술'  '설탕: 1작은술'  '올리고당: 1⁄2큰술'  '물: 2큰술'] 조리 과정은 다음과 같습니다: ['Step 1: 참치캔은 기름을 뺀 후 양파와 통깨  맛살을 넣어 5분 정도 재워주세요 '  'Step 2: 달군 팬에 기름을 두르고 당근  오이  단무지를 넣어 볶아주세요  판어묵은 가늘게 채썰고  청상추는 한 장씩 떼어내주세요 '  'Step 3: 볼에 밥과 밥 양념 재료를 넣어 골고루 섞어주세요 '  'Step 4: 김발에 김을 올리고 밥을 고르게 편 후 청상추와 깻잎을 깔아주세요  준비한 재료를 올려 김밥을 단단하게 말아주세요 '  'Step 5: 볼에 달걀과 소금  맛술을 넣어 섞은 후 체에 내리고  달군 팬에 약간의 기름을 넣고 달걀물을 김 크기로 얇게 펴주세요  달걀이 80%정도 익었을 때  말아 둔 김밥을 올려 달걀로 돌돌말아주세요 '  'Step 6: 참치캔을 먹기 좋은 크기로 잘라 맛있게 즐겨주세요 ']
계란이랑 참치랑 소세지 있는데 뭐 먹지,1,모든 재료가 포함된 요리: 삼색밀쌈
삼색밀쌈?,0,삼색밀쌈을 만들기 위해 필요한 재료입니다: ['밀가루 1컵'  '치자 2개'  '시금치 20g'  '물 적당량'  '오이 1/2개'  '표고버섯 3장'  '양파 1/2개'  '쇠고기 80g'  '소금 약간'  '참기름 약간'  '깨소금 약간'  '후춧가루 약간'] 조리 과정은 다음과 같습니다: ['Step 1: 흰색 밀쌈은 밀가루에 물을 넣고 체에 한번 거른 후 멍울이 지지 않도록한 후 농도를 맞춘다 '  'Step 2: 노란색 밀쌈은 치자를 반으로 잘라 물 1/3컵을 부어 20분 정도 두어 노란 물을 우려내어 그 물로 반죽한 후 체에 한번 걸러 농도를 맞춘다 '  'Step 3: 시금치를 잘게 다져 녹색 물을 만든 후 밀가루에 넣어 반죽한다  마찬가지로 체에 한번 걸러준 다음 농도를 맞춘다 '  'Step 4: 쇠고기는 채썰어 갖은 양념을 한다 '  'Step 5: 표고버섯과 오이  양파도 가늘게 채썰어 소금 간 하여 기름에 볶아낸다 '  'Step 6: 팬에 기름을 조금 두르고 다시 키친타월로 기름을 닦아낸 후 반죽을 한 숟가락씩 떠서 얇게 원을 만들어 투명한 색이 나면 뒤집는다 '  'Step 7: 밀쌈 가운데 볶은 소를 가지런히 놓아 돌돌 말아 접시에 낸다 '  'Step 8: 겨자초장 또는 초고추장에 찍어먹는다 ']
"삼겹살, 당근, 두부, 된장",0,삼겹살김밥을 만들기 위해 필요한 재료입니다: ['밥: 2공기'  '삼겹살: 3줄(300g)'  '김밥용 김: 3장'  '단무지: 3줄'  '당근: 1개'  '오이: 1개'  '깻잎: 6장'  '오이고추: 2개'  '청상추: 6장'  '우엉: 1줄'  '식용유: 적당량'  '소금: 약간'  '후춧가루: 약간'  '참기름: 약간'  '통깨: 약간'  '소금: 1⁄2작은술'  '참기름: 1큰술'  '간장: 3큰술'  '맛술: 2큰술'  '설탕: 2큰술'  '올리고당: 2큰술'  '물: 1⁄2컵'  '쌈장: 3큰술'  '맛술: 1큰술'] 조리 과정은 다음과 같습니다: ['Step 1: 깨끗이 씻은 당근과 우엉은 껍질을 벗긴 후 가늘게 채썰고  오이도 채썰어 주세요  오이고추는 꼭지를 자르고 반으로 갈라 씨앗을 제거하고 4등분으로 잘라주세요 '  'Step 2: 달군 팬에 기름을 두르고 당근에 소금을 약간 뿌린 후 볶아 접시에 덜어주세요  우엉의 숨이 죽을 때까지 볶다가 우엉조림 재료를 넣어 물기가 없어질 때까지 졸여주세요 '  'Step 3: 볼에 밥과 밥 양념 재료를 넣어 골고루 섞어주세요  볼에 쌈장 양념 재료를 넣어 섞어주세요 '  'Step 4: 달군 팬에 삼겹살을 올린 후 소금  후춧가루로 간을 맞춰 노릇하게 구워주세요 '  'Step 5: 김발에 김을 올리고 밥을 고르게 편 후 청상추와 깻잎을 깔아주세요  삼겹살과 준비한 재료  쌈장을 넣은 후 김밥을 단단하게 말아주세요  (기호에 따라 씻은 묵은지  쌈무  구운 마늘 등의 재료를 추가로 넣어 만들어 드셔도 맛있게 드실 수 있어요 ) (tip  쌈장은 소스통이나 짤주머니에 넣어 사용하면 깔끔하게 넣을 수 있어요 )'  'Step 6: 삼겹살 김밥에 참기름과 통깨를 뿌린 후 먹기 좋은 크기로 잘라 맛있게 즐겨주세요  (따뜻할 때 드시는 것이 더욱 맛있어요 )']
삼겹살이랑 당근 두부,0,삼겹살랑 당근 두부전을 만들기 위해 필요한 재료입니다: ['당근: 2개'  '양파: 1/2개'  '파: 1대'  '청양고추: 1개'  '홍고추: 1개'  '깨: 약간'  '간장: 1큰술'  '설탕: 1큰술'  '맛술: 1큰술'  '참기름: 1/2큰술'  '후춧가루: 약간'  '식용유: 약간'] 조리 과정은 다음과 같습니다: ['Step 1: 당근과 양파는 깨끗이 씻은 후 체에 밭쳐 물기를 빼주세요  양파는 채썰고  대파와 청양고추  홍고추는 어슷하게 썰어주세요 '  'Step 2: 달군 팬에 기름을 두르고 당근  양파를 노릇하게 볶아주세요 '  'Step 3: 볼에 양념 재료를 넣어 섞어주세요 '  'Step 4: 달군 팬에 삼겹살과 양파  청양고추  홍고추를 넣고 후춧가루로 간을 해 볶아주세요 '  'Step 5: 접시에 담아 맛있게 즐겨주세요 ']
두부랑 소고기,0,두부랑소고기 말이를 만들기 위해 필요한 재료입니다: ['두부 1모'  '소고기100g'  '표고버섯3개'  '양파개'  '당근개'  '죽순20g'  '마늘2개'  '대파1대'  '달걀1개'  '생강약간'  '산초기름1큰술'  '식용유2큰술'  '간장1작은술'  '청주1작은술'  '춘장2큰술'  '설탕1큰술'  '굴소스1작은술'  '치킨파우더1큰술'  '굴소스1작은술'  '백후춧가루약간'] 조리 과정은 다음과 같습니다: ['Step 1: 두부는 물기를 제거하고  칼등으로 두부의 물기를 제거해 주세요 '  'Step 2: 소고기는 채를 썰고  당근  양파  죽순  표고버섯은 4cm 길이로 채를 썰어주세요  죽순  표고버섯은 편썰고  마늘과 생강은 다져서 준비해 주세요 '  'Step 3: 볼에 순서 2와 순서 3을 넣고 분량의 소스를 넣어 골고루 섞어주세요 '  'Step 4: 팬에 기름을 두르고 달걀을 넣어 지단을 부친 후 생강  양파  당근  표고버섯  순서 3의 소스를 넣고 볶아주세요 '  'Step 5: 순서 4에 물기 뺀 고기  표고버섯  피망  춘장을 넣고 볶다가 순서 4의 소스를 넣고 끓여주세요     Tip  소고기에 튀김옷을 입힐 때 두부가 눅눅해지지 않도록 해줘야 해요']
"두부, 소고기",0,두부를 만들기 위해 필요한 재료입니다: ['두부 1모  쇠고기 100g  계란 2개'  '표고버섯 약간  실파 약간  쑥갓 약간  부추 100g'  '다시마 20g  국물용멸치 20g'] 조리 과정은 다음과 같습니다: ['Step 1: 두부는 물기를 꼭 짜서 으깨고 표고버섯은 미지근한 물에 불려 기둥을 떼어내고 실파는 송송 썬다 '  'Step 2: 실파는 깨끗이 다듬어 씻고 두부는 물기를 뺀다 '  'Step 3: 쇠고기는 곱게 다져 소금  후춧가루  다진 마늘  송송 썬 실파를 넣고 간을 하여 볶는다 '  'Step 4: 계란은 잘 풀어서 실파  쑥갓을 넣고 소금  후춧가루로 간한다 '  'Step 5: 두부를 밀가루  계란물 순으로 옷을 입혀 전을 지진다 '  'Step 6: 프라이팬이 달구어 지면 쇠고기를 넣고 볶다가 계란물을 붓고 실파를 넣는다 '  'Step 7: 간장  다시마  국물용 멸치  실파를 넣고 한소끔 끓인다 '  'Step 8: 국물이 끓으면 계란 삶은 것을 넣고 모자라는 간은 소금으로 마무리한다 '  'Step 9: **양념 : 간장 1큰술  설탕 1작은술  다진마늘 1작은술  참기름약간  실파 12뿌리'  'Step 10: *컨텐츠 제공 : 메뉴판닷컴 회원 이희진님']
두부 소고기,0,두부 소고기 말이를 만들기 위해 필요한 재료입니다: ['두부: 1모 (300g)'  '소고기 (불고기용): 200g'  '양파: 1⁄2개'  '대파: 1⁄2대'  '청양고추: 1개'  '홍고추: 1개'  '쪽파: 5대'  '통깨: 약간'  '식용유: 적당량'  '간장: 1큰술'  '맛술: 1큰술'  '설탕: 1⁄2큰술'  '참기름: 1⁄2큰술'  '후춧가루: 약간'  '전분가루: 1⁄2큰술'  '물: 2큰술'] 조리 과정은 다음과 같습니다: ['Step 1: 두부는 키친타월에 올려 물기를 제거한 후 6등분 내주세요  가운데 칼집을 넣고 양파는 굵게 채를 썰어주세요  쪽파는 4cm 길이로 썰어주세요 '  'Step 2: 소고기는 먹기 좋게 썰어주세요  양파는 굵게 채를 썰고  대파와 청양고추  홍고추는 어슷하게 썰어주세요 '  'Step 3: 볼에 양념 재료를 넣고 섞어주세요 '  'Step 4: 달군 팬에 기름을 두르고 양파를 넣고 소금  후춧가루로 간을 해 볶아주세요 '  'Step 5: 소고기가 익으면 구워둔 두부를 넣고 볶다가 양념장을 넣어 3분 정도 끓여주세요 '  'Step 6: 마지막에 쪽파와 청양고추  홍고추를 넣어 국물을 자작하게 부어주세요 '  'Step 7: 완성된 두부 소고기 말이를 접시에 담아 맛있게 즐겨주세요 ']
오늘 날씨 ?,2,"챗봇: 요리명 기반, 혹은 재료명 기반으로 질문을 해주세요. 그 외 질문은 처리할 수 없습니다.."
김치찌개,0,김치찌개를 만들기 위해 필요한 재료입니다: ['배추김치 1/4포기'  '대파 1뿌리'  '청고추 1개'  '홍고추 1개'  '다시마(10cm x 10cm) 1장'  '멸치 한줌'  '무 1/4개'  '물 4컵'  '생강즙 1/2작은술'  '다진마늘 1큰술'  '참기름 1작은술'  '고춧가루 3큰술'  '청주 2큰술'] 조리 과정은 다음과 같습니다: ['Step 1: 잘 익은 배추김치는 속을 털고 5cm 길이로 썬다 '  'Step 2: 냄비에 분량의 육수 재료를 넣고 끓인다 '  'Step 3: 분량의 고춧가루에 다진 마늘  생강즙  청주를 넣고 고루 섞어 양념 고춧가루를 만들어놓은 뒤 30분정도 재워둔다 '  'Step 4: 냄비에 1을 넣고 3과 2의 육수 4컵을 고루 부어 푹 끓인 후 어슷썬 고추와 대파  다진 마늘  참기름을 넣어 마무리한다 ']
오늘은 김치전 먹고싶어,2,"챗봇: 요리명 기반, 혹은 재료명 기반으로 질문을 해주세요. 그 외 질문은 처리할 수 없습니다.."
김치전,0,김치전을 만들기 위해 필요한 재료입니다: ['김치 200g'  '계란 1개'  '햄 200g'  '실파 2뿌리'  '식용유 약간'  '소금 약간'  '후춧가루 약간'] 조리 과정은 다음과 같습니다: ['Step 1: 김치는 소를 털어내고 줄기만 길이 8cm  너비 2cm로 썰어 참기름을 고루 묻힌다 '  'Step 2: 실파는 깨끗이 씻어 송송 썬다 '  'Step 3: 햄도 잘게 썬다 '  'Step 4: 식용유를 두른 프라이팬에 김치와 햄  계란을 넣어 볶는다 '  'Step 5: 소금과 후춧가루로 간을 맞추고 실파와 김을 얹어 마무리한다 ']
김치전 먹고싶네,0,김치전을 만들기 위해 필요한 재료입니다: ['김치 200g'  '계란 1개'  '햄 200g'  '실파 2뿌리'  '식용유 약간'  '소금 약간'  '후춧가루 약간'] 조리 과정은 다음과 같습니다: ['Step 1: 김치는 소를 털어내고 줄기만 길이 8cm  너비 2cm로 썰어 참기름을 고루 묻힌다 '  'Step 2: 실파는 깨끗이 씻어 송송 썬다 '  'Step 3: 햄도 잘게 썬다 '  'Step 4: 식용유를 두른 프라이팬에 김치와 햄  계란을 넣어 볶는다 '  'Step 5: 소금과 후춧가루로 간을 맞추고 실파와 김을 얹어 마무리한다 ']
"냉장고에 돼지고기, 대파, 감자, 파슬리",1,모든 재료가 포함된 요리: 오징어섞어찌개  오징어섞어찌개  오징어섞어찌개
오징어가 들어간 음식,0,오징어 빠에야를 만들기 위해 필요한 재료입니다: ['오징어 2마리 (500g)'  '불린 쌀 2컵'  '멸치 다시마 육수 (물로 대체 가능) 3~4컵 '  '다진 마늘 1큰술 '  '청주 3큰술 '  '다진 파슬리 (생략 가능) 약간 '  '레몬 (생략 가능) 1⁄2개'  '올리브 오일 약간 '  '파프리카 가루 (고운 고춧가루로 대체 가능) 1작은술 '  '토마토소스 3큰술 '  '소금 약간 '  '후춧가루 약간 '  '카레 가루 1작은술 '] 조리 과정은 다음과 같습니다: ['Step 1: 오징어는 내장을 제거하고 깨끗이 씻은 후 링으로 썰어주세요  다리는 먹기 좋게 썰어주세요 '  'Step 2: 팬에 올리브 오일을 약간 두른 후 다진 마늘을 넣어 약한 불로 볶아주세요  마늘 향이 나면 오징어를 넣어 1~2분간 볶아주세요  다 익은 오징어는 접시에 덜어주세요  (tip  오징어 외에도 홍합이나 새우등의 해산물을 추가하여 만드셔도 좋아요)'  'Step 3: 마늘과 오징어를 볶은 팬에 불린 쌀과 청주를 넣어 볶아주세요  청주가 증발 하면 양념 재료를 넣고 육수를 조금씩 나눠 넣어가며 10~15분 정도 볶아주세요  (tip  쌀은 1시간 정도 불려 주세요) (tip  과정의 마지막에서 부족한 간은 소금으로 맞춰주세요)'  'Step 4: 쌀의 심지가 약간 씹힐 정도로 익으면 볶아둔 오징어를 넣고 센 불로 30초 정도 익힌 후 뚜껑을 닫고 불을 꺼주세요  5분간 뜸을 들여주세요   (tip  바닥의 수분을 날려 쌀이 약간 눌러 붙게 해주세요)'  'Step 5: 완성된 빠에야에 기호에 따라 파슬리와 레몬즙을 뿌려 맛있게 즐겨주세요 ']
오징어 회무침 먹고 싶다,0,오징어 회무침을 만들기 위해 필요한 재료입니다: ['오징어 (중간\xa0사이즈): 2마리'  '양파: 1⁄2개'  '당근: 1⁄3개'  '대파: 1⁄3대'  '배: 1⁄4개'  '통깨: 약간'  '고추장: 3큰술'  '고춧가루: 2큰술'  '간장: 1큰술'  '맛술: 1큰술'  '설탕: 1큰술'  '매실청: 1큰술'  '식초: 1큰술'  '다진 마늘: 1큰술'  '참기름: 1작은술'  '후춧가루: 약간'] 조리 과정은 다음과 같습니다: ['Step 1: 오징어는 내장과 껍질을 제거하고 깨끗이 씻어 칼집을 넣고 한입 크기로 잘라주세요 '  'Step 2: 볼에 양념 재료를 넣고 고루 섞어주세요 '  'Step 3: 양파와 당근  대파는 오징어 다리와 같은 크기로 자르고 배와 양파는 먹기 좋게 썰어주세요 '  'Step 4: 볼에 오징어 손질한 야채와 양념장을 넣고 고루 섞어주세요 '  'Step 5: 접시에 오징어 무침을 담고 통깨를 뿌려 맛있게 즐겨주세요 ']
"통깨, 고추장, 밥, 나물",1,모든 재료가 포함된 요리: 나물 김밥  쇠고기 버섯 솥밥  목살김치찜
"돼지고기 목살, 소고기 우둔살, 당면, 감자,",1,모든 재료가 포함된 요리: 삼색밀쌈  제육보쌈  소고기 감자 미음
제육보쌈 레시피 알려줘,0,제육보쌈을 만들기 위해 필요한 재료입니다: ['돼기고기 600g'  '새우젓 2큰술'  '무 200g'  '굴 50g'  '배추 1/2포기'  '무명실 약간'  '깨소금 약간'  '미나리 15g'  '갓 20g'  '실파 5뿌리'  '된장 2큰술'  '생강 1쪽'  '고춧가루 1/2큰술'  '다진파 1큰술'  '다진마늘 1작은술'  '참기름 약간'  '고춧가루 3큰술'] 조리 과정은 다음과 같습니다: ['Step 1: 돼지고기는 목살로 덩어리째 준비해 실로 돌려가며 묶는다 '  'Step 2: 냄비에 물을 붓고 된장을 푼 다음 저민 생강을 넣어 끓이다가 돼지고기를 넣어 무르도록 푹 삶는다 '  'Step 3: 다 삶아지면 실을 풀고 꼬치로 찔러보아 피가 묻어나지 않으면 된다 '  'Step 4: 고기를 베보자기나 거즈로 싼 다음 꾹꾹 눌러준다 '  'Step 5: 고기가 식으면 먹기좋게 0 3cm 두께로 납작하게 저며 썬다 '  'Step 6: 굴은 묽은 소금물에 살살 흔들어 씻은 다음 티를 골라내고 깨끗한 물에 헹궈 체에 밭친다 '  'Step 7: 무는 5cm 길이로 채썰고 미나리는 줄기만 준비한다  갓은 연한 것으로 골라 각각 5cm 길이로 썬다 '  'Step 8: 고춧가루와 젓국에 채썬 무를 먼저 버무린 다음 준비한 굴과 푸른 채소를 넣어 다시 한 번 고루 버무린다 '  'Step 9: 새우젓은 다져서 파  마늘  생강등의 양념을 넣고 잘 섞어 만들어 놓는다 '  'Step 10: 커다란 접시에 제육을 담은 뒤 8의 배추속양념도 한 쪽 옆에 같이 담아 낸다  새우젓 양념은 종지에 담아 찍어먹을 수 있도록 한다 ']
오늘 날씨는 어때?,2,"챗봇: 요리명 기반, 혹은 재료명 기반으로 질문을 해주세요. 그 외 질문은 처리할 수 없습니다.."
날씨,2,"챗봇: 요리명 기반, 혹은 재료명 기반으로 질문을 해주세요. 그 외 질문은 처리할 수 없습니다.."
오늘 비가 올려나?,2,"챗봇: 요리명 기반, 혹은 재료명 기반으로 질문을 해주세요. 그 외 질문은 처리할 수 없습니다.."
요리말고 다른거에 대해서 알고있는게 있니?,0,요리말고장을 만들기 위해 필요한 재료입니다: ['말린고춧가루 2컵'  '간장 1큰술'  '물엿 1큰술'  '설탕 1/2큰술'  '식용유 4큰술'  '깨소금 2큰술'  '다진파 3큰술'  '다진마늘 1큰술'  '참기름 1큰술'] 조리 과정은 다음과 같습니다: ['Step 1: 말린 고추는 물에 불려 깨끗이 씻은 다음 물기를 빼고 반으로 자른다 '  'Step 2: 팬에 분량의 양념재료를 넣어 볶다가 물을 넉넉히 붓고 말린 고추를 넣어 끓인다 '  'Step 3: 2에 양념이 고루 배도록 조물조물 무쳐둔다 '  'Step 4: 완성된 양념장을 그릇에 담아 낸다 ']
오늘 날씨는 어때?,2,"챗봇: 요리명 기반, 혹은 재료명 기반으로 질문을 해주세요. 그 외 질문은 처리할 수 없습니다.."
오늘의 날씨,2,"챗봇: 요리명 기반, 혹은 재료명 기반으로 질문을 해주세요. 그 외 질문은 처리할 수 없습니다.."
날씨,2,"챗봇: 요리명 기반, 혹은 재료명 기반으로 질문을 해주세요. 그 외 질문은 처리할 수 없습니다.."
너의 이름이 뭐니?,2,"챗봇: 요리명 기반, 혹은 재료명 기반으로 질문을 해주세요. 그 외 질문은 처리할 수 없습니다.."
너는 무엇을 할수있어?,2,"챗봇: 요리명 기반, 혹은 재료명 기반으로 질문을 해주세요. 그 외 질문은 처리할 수 없습니다.."
너의 꿈은 뭐야?,2,"챗봇: 요리명 기반, 혹은 재료명 기반으로 질문을 해주세요. 그 외 질문은 처리할 수 없습니다.."
안녕?,2,"챗봇: 요리명 기반, 혹은 재료명 기반으로 질문을 해주세요. 그 외 질문은 처리할 수 없습니다.."
안녕하세요~,2,"챗봇: 요리명 기반, 혹은 재료명 기반으로 질문을 해주세요. 그 외 질문은 처리할 수 없습니다.."
"공기청정기를 사야겠어, 추천좀해줘",1,모든 재료가 포함된 요리: 뚝배기짬뽕라면
