Type,Name,Ingredients,Steps
한식,도토리묵,"['도토리가루: 1컵', '물: 6컵', '소금: 1/2큰술', '들기름: 1큰술', '진간장: 4큰술', '다진 마늘: 1작은술', '고춧가루: 1큰술', '다진 청양고추: 2큰술', '참기름: 1큰술', '설탕: 1/2큰술', '통깨: 약간', '후춧가루: 약간']","['Step 1: 볼에 도토리가루와 물을 넣고 거품기로 잘 섞어주세요.', 'Step 2: 섞은 재료를 냄비에 담고 센불에서 한방향으로 빠르게 저어가며 끓여주세요.', 'Step 3: 재료가 응고되면서 기포가 끓어오르기 시작하면 불을 약불로 줄이고 15분간 천천히 저어주세요.', 'Step 4: 들기름과 소금을 넣고 다시 5분간 천천히 저어주세요.  (tip. 들기름을 넣으면 묵에서 윤기가 나고 더욱 고소해요. 들기름이 없다면 참기름이나 일반 식용유를 사용해도 좋아요)', 'Step 5: 완성된 도토리묵은 밀폐용기나 굳힐수있는 적당한 크기의 용기에 붓고 상온에서 식혀주세요.', 'Step 6: 굳힌 도토리묵을 먹기 좋게 썰어주세요. (tip. 도토리묵은 밀폐하여 냉장 보관하면 3~4일간 보관이 가능해요)  (tip. 물을 넣어 함께 보관하면 수분이 증발하는것을 막아줘요. 또한 굳은 묵은 끓는물에 3분간 데쳐 사용하면 더욱 부드럽게 즐길 수 있어요)', 'Step 7: 볼에 양념장 재료를 넣고 섞어주세요. 양념장을 곁들여 맛있게 즐겨주세요.']"
한식,목살김치찜,"['목살: 1kg', '신김치: 1/2포기', '양파: 1/2개', '대파: 1대', '홍고추: 1개', '청양고추: 1개', '멸치다시마육수(또는 쌀뜨물): 500ml', '된장(생략 가능): 1/2큰술', '김치국물: 1컵', '국간장: 1큰술', '맛술: 2큰술', '고춧가루: 1큰술', '설탕: 1큰술', '다진 마늘: 1큰술', '후춧가루: 약간']","['Step 1: 김치는 꼭지를 붙인 채 3등분하여 썰어주세요. 볼에 양념 재료를 넣고 섞어 양념장을 만들어주세요. (tip 김치의 숙성 정도에 따라 설탕을 가감해주세요)', 'Step 2: 목살은 큼직하게 자르고, 양파는 굵게 채썰어주세요. 대파와 고추는 어슷하게 썰어주세요.', 'Step 3: 냄비에 김치를 담고 목살과 양파를 올린 후 양념장과 멸치다시마육수, 된장을 넣고 끓기 시작하면 불을 중간불로 줄여 1시간 20분 정도 끓여주세요. (tip 끓이는 중간 뚜껑을 열어 김치가 바닥에 눌지 않도록 저어가며 끓여주세요) (tip 부족한 간은 김치국물과 소금을 가감해서 조절해주세요)', 'Step 4: 마지막에 대파와 홍고추, 청양고추를 넣고 한소끔 끓인 후 목살을 먹기 좋은 크기로 잘라 김치와 함께 맛있게 즐겨주세요.']"
한식,배불고기찜,"['배: 1개', '불고깃감 쇠고기: 100g', '도라지: 1뿌리(작은 것)', '대추: 1개', '간장: 1큰술', '맛술: 1큰술', '꿀: 1/2큰술', '다진 마늘: 1작은술', '후춧가루: 약간']","['Step 1: 배는 깨끗이 씻어 윗부분을 자르고 속을 파주세요. 속을 파낸 배의 1/2 분량을 챠퍼로 갈아 즙을 내주세요.', 'Step 2: 도라지는 얇게 편썰어주세요. 볼에 양념 재료를 섞어주세요.', 'Step 3: 핏물을 뺀 쇠고기에 갈아둔 배와 양념 재료를 넣고 재워주세요.  (tip. 배즙을 넣으면 고기가 더욱 부드러워져요)', 'Step 4: 달군 팬에 기름을 약간 두른 후 재워둔 쇠고기를 볶아주세요.', 'Step 5: 속을 판 배 속에 볶은 재료를 넣고 도라지와 대추를 넣은 후 뚜껑을 덮고 전자레인지에 10분간 돌려주세요.', 'Step 6: 완성된 불고기찜을 맛있게 즐겨주세요.']"
한식,채식구절판,"['표고: 2개', '오이: 1/2개', '당근: 1/2개', '숙주: 한 줌', '애호박: 1/4개', '우엉: 1토막', '목이버섯: 약간', '소금: 약간', '식용유: 약간', '밀가루: 1컵', '물: 1컵', '소금: 3꼬집', '참기름: 2방울', '간장: 1큰술', '맛술: 1큰술', '설탕: 1/2큰술', '다진 마늘: 1작은술', '참기름: 1큰술', '후춧가루: 약간', '연겨자: 1/2큰술', '식초: 5큰술', '설탕: 1큰술']","['Step 1: 목이버섯은 찬물에 담가 불린 후 물기를 짜고 곱게 채를 썰어주세요.', 'Step 2: 오이는 굵은 소금으로 닦은 후 4등분 하여 껍질을 얇게 돌려 깎고 채를 썰어주세요.', 'Step 3: 표고는 기둥을 떼고 가로로 편을 썬 다음 얇게 채를 썰어주세요.   (tip. 표고 기둥도 손으로 찢어 함께 사용해도 좋아요)', 'Step 4: 우엉, 애호박, 당근을 얇게 편을 썰고 곱게 채를 썰어주세요.', 'Step 5: 볼에 간장소스를 넣고 섞어 준비해주세요.', 'Step 6: 달군 팬에 기름을 약간 두른 후 표고-오이-애호박-당근 순으로 볶아주세요.  (tip. 채소를 볶을 때 고운 소금을 한 꼬집씩 넣어 간을 해주세요)', 'Step 7: 달군 팬에 숙주 한 줌과 물 1컵을 넣고 숙주를 데친 후 접시에 덜고, 물이 자작한 상태에서 채를 썬 우엉과 간장소스 ½ 분량을 넣고 졸인 후 접시에 덜어주세요.', 'Step 8: 우엉을 볶은 팬에 목이버섯을 넣고 나머지 간장소스를 넣은 후 볶아주세요.', 'Step 9: 볼에 밀전병 재료를 넣고 섞은 후 잘 섞어주세요.  (tip. 전병 반죽에 치자가루나 식용 색소를 조금 섞어주면 다양한 색을 낼 수 있어요)', 'Step 10: 약한 불에서 팬에 기름을 두른 후 닦아내고 숟가락으로 밀전병 반죽을 한술 떠 팬에 붓고 둥글고 얇게 펼쳐 부쳐주세요.', 'Step 11: 접시에 준비한 재료를 둥글게 돌려 담고 가운데 전병을 올려 완성해주세요.  (tip. 밀전병 위에 허브나 잣 대추 등을 올려 꾸며주면 더욱 예뻐요)']"
한식,간장 가지덮밥,"['가지: 3개', '양파: 1개', '전분: 2큰술', '쪽파: 2대', '식용유: 약간', '통깨: 약간', '후춧가루: 약간', '소금: 약간', '설탕: 약간', '물: 4큰술', '간장: 3큰술', '미림: 2큰술', '청주: 2큰술', '설탕: 2큰술', '생강가루: 약간']","['Step 1: 가지는 깨끗이 씻어 꼭지를 자르고 1cm 두께로 길게 썰어주세요.', 'Step 2: 가지에 소금과 설탕을 넣고 20분간 절여주세요.', 'Step 3: 절인 가지의 물기를 제거하고 밀가루옷을 얇게 입혀주세요.', 'Step 4: 마늘은 편을 썰어 구워주세요. 달군 팬에 기름을 두르고 중약불에서 가지를 앞뒤로 노릇하게 3~4분간 구워주세요.', 'Step 5: 소스재료를 섞은 후 가지를 구운 팬에 붓고 팔팔 끓여준 불을 약불로 줄이고 구워둔 가지를 넣고 2~3분간 졸여주세요.', 'Step 6: 양파는 얇게 링으로 썰어 찬물에 담가 매운기를 제거하고 채반에서 물기를 제거해 주세요.', 'Step 7: 그릇에 밥을 담고 양파를 소복히 올린 후 통깨를 뿌리고 구운 가지를 가지런히 올려주세요. 쪽파와 후춧가루를 뿌려 완성한 후 맛있게 즐겨주세요.']"
한식,김치 비빔 국수,"['신김치: 2컵', '중면: 200g', '오이: 1/2개', '깨: 약간', '고추장: 2큰술', '식초: 2큰술', '올리고당: 2큰술', '간장: 1큰술', '설탕: 1큰술', '맛술: 1큰술', '참기름: 1큰술', '후추: 약간']","['Step 1: 오이는 가늘게 채 썰고 김치는 굵게 다져주세요.', 'Step 2: 볼에 다진 김치와 양념재료를 넣고 섞어주세요.', 'Step 3: 끓는 물에 중면을 펼쳐 넣고 면끼리 달라붓지 않도록 저어주세요. 물이 끓어오르면 찬물을 2~3회 반복해서 부어 국수를 삶아주세요. 흐르는 찬물에 중면을 여러 번 씻어 전분기를 없애고 체반에 밭쳐 물기를 빼주세요.', 'Step 4: 양념장에 삶은 국수를 넣고 버무려주세요.', 'Step 5: 접시에 비빔국수를 담고 삶은 달걀과 오이채, 깨를 올려주세요.']"
한식,열무김치,"['열무: 1단 (1.5kg)', '얼갈이: 1단 (1.5kg)', '쪽파: 한 줌 (20대)', '양파: 1개', '홍고추: 15개', '생강: 1쪽 (20g)', '새우젓: 4큰술', '굵은 소금: 150g', '고춧가루: 1컵', '참치액젓: 3큰술', '다진 마늘: 4큰술', '매실청: 3큰술', '소금: 2큰술', '밀가루: 4큰술', '디포리 다시마 육수: 3컵+½컵']","['Step 1: 얼갈이는 뿌리 부분을 잘라내고 2~3등분으로 잘라 주세요. 열무는 뿌리 끝부분을 자르고 긁어 다듬은 후 두꺼운 뿌리는 반으로 가르고 길이로 2~3등분으로 잘라 손질해 주세요. (tip. 잎이 큰 얼갈이는 반으로 잘라 주세요)', 'Step 2: 손질한 얼갈이와 열무는 물에 살살 흔들어 씻어 주세요. 굵은 소금을 뿌려 30분 정도 절이고 위아래로 뒤집어 20분 정도 더 절여 주세요. 물에 흔들어 씻어 채반에 밭쳐 물기를 빼주세요. (tip. 열무는 씻을 때와 절일 때, 양념에 버무릴 때 살살 버무려야 풋내가 나지 않게 만들 수 있어요)', 'Step 3: 냄비에 밀가루 풀 재료를 넣고 잘 섞어준 후 중불에서 저어가며 풀고 기포가 올라오면서 농도가 나면 불을 끄고 식혀주세요.', 'Step 4: 양파는 큼직하게 썰고, 홍고추는 꼭지를 제거 후 송송 썰어주세요. 새우젓과 생강을 함께 블렌더에 넣어 굵게 갈아주세요. 쪽파는 5센티 길이로 썰어주세요.', 'Step 5: 볼에 블렌더에서 간 재료와 식힌 밀가루 풀, 양념 재료를 넣고 고루 섞어 김치 양념장을 만들어주세요.', 'Step 6: 양념을 절인 열무와 얼갈이, 쪽파에 넣고 숨이 살짝 죽으면 전체적으로 가볍게 섞어 김치통에 담아주세요. 상온에서 1~2일 정도 숙성시켰다가 냉장 보관해 주세요. (tip. 열무와 얼갈이의 절여진 염도에 따라 마지막에 새우젓 국물 또는 소금을 가감해서 간을 맞춰주세요)']"
한식,쇠고기 미역국,"['자른 쇠고기 양지(또는 등심): 100g', '자른 미역: 20g (⅔컵)', '참기름 (또는 들기름): 2큰술', '국간장: 2큰술', '다진 마늘: 1큰술', '물 (또는 쌀뜨물): 7컵 (1.4L)', '멸치 액젓 (또는 참치액젓): 1큰술']","['Step 1: 불린 미역은 물에 깨끗하게 헹군 후 체에 밭쳐 물기를 빼주세요. (tip. 미역은 미지근한 물이나 뜨거운 물에 불리게 되면 비린내가 올라오게 되니 찬물에 20분 정도 불려주세요) (tip. 자르지 않은 미역은 불린 후 먹기 좋은 크기로 잘라주세요)', 'Step 2: 달군 팬에 쇠고기를 넣어 볶다가 참기름을 넣고 쇠고기 겉면의 핏기가 없을 때까지 약불에서 볶아주세요. 다진 마늘을 넣어 볶다가 국간장과 미역을 넣고 3~4분 정도 볶아주세요. (tip. 국간장을 볶을 때 넣으면 쇠고기와 미역에 간이 잘 되면서 기름진 맛을 잡아준답니다)', 'Step 3: 물을 넣고 20~30분 정도 충분히 끓여주세요. (tip. 20~30분 정도 충분히 끓이면 쇠고기도 더욱 부드럽고 국물의 맛도 진해져요)', 'Step 4: 부족한 간은 국간장과 액젓으로 맞춰주세요.', 'Step 5: 맛있게 즐겨주세요.']"
한식,당근전,"['당근: 2개(320g)', '전분: 3큰술', '소금: 두 꼬집', '식용유: 약간']","['Step 1: 깨끗이 씻은 당근은 채칼로 채를 썰어주세요.  (tip. 당근은 최대한 길게 채 썰어주어야 예쁜 모양으로 완성된답니다)', 'Step 2: 볼에 당근을 담아 소금을 넣고 잘 섞어준 후 전분가루를 넣어 골고루 섞어주세요.', 'Step 3: 달군 팬에 식용유를 두르고 당근을 올려 둥글게 모양을 만들어 주세요. 한쪽 면이 잘 익으면 뒤집어 다른 면도 익혀 주세요.', 'Step 4: 노릇하게 익은 당근전을 그릇에 담아 맛있게 즐겨주세요.']"
한식,김치말이두부찜,"['신김치: ½포기', '두부: 1모', '느타리 한줌: 100g', '양파: ½개', '대파: ½대', '채수: 2+½컵', '들기름: 2큰술', '간장(국간장): 1큰술', '된장: ½큰술', '고춧가루: 1큰술', '김치국물: ⅓컵', '다진 마늘: 1큰술', '설탕: 1작은술', '후춧가루: 약간']","['Step 1: 양파는 굵게 채 썰고, 대파는 어슷하게 썰어주세요. 느타리버섯은 밑동을 자르고 먹기 좋게 찢고 두부는 손가락 두께로 잘라주세요. 볼에 양념 재료를 넣고 섞어주세요.  (tip. 김치의 염도에 따라 김치 국물의 양을 가감해 주세요.)', 'Step 2: 달군 팬에 들기름 1큰술을 두르고 두부를 돌려가며 노릇하게 구워주세요.', 'Step 3: 김치를 넓게 깔고, 구운 두부를 올려 돌돌 말아주세요.', 'Step 4: 냄비에 들기름 1큰술을 두르고 대파(1/2분량)을 넣어 볶다가 파의 향이 올라오면 느타리버섯과 양파를 넣어 볶아주세요. 김치말이두부와 양념, 채수를 넣고 중불에서 25분 정도 끓여주세요.  (tip. 김치말이두부의 이음새 부분이 냄비의 바닥이 가도록 놓아야 풀리지 않아요. 채수를 넣을 때는 냄비의 가장자리부터 천천히 부어주세요. 기호에 따라 끓이는 중간에 채수를 가감해서 국물의 양을 조절해 주세요.)', 'Step 5: 김치가 부드럽게 익으면 기호에 따라 부족한 간은 소금을 가감해서 조절한 후 나머지 대파 반을 올려 맛있게 즐겨주세요.']"
한식,표고버섯 덮밥,"['표고버섯: 6개 (150g)', '양파: ½개', '대파: ½대', '다진 마늘: 1큰술', '참기름: 1큰술', '식용유: 약간', '통깨: 약간', '레드페퍼: 약간 (또는 청양고추 ½개)', '밥: 2공기', '간장: 1+½큰술', '올리고당: 1큰술', '맛술: 1큰술', '설탕: ½큰술', '참기름: ½큰술', '후추가루: 약간']","['Step 1: 표고버섯은 밑동 부분을 자르고 먹기 좋게 슬라이스해주세요. 양파는 채를 썰어주세요. 대파는 흰 부분과 푸른 부분을 분리한 후 가늘게 채를 썰어주세요. 볼에 양념재료를 넣고 섞어주세요. (tip 표고버섯의 기둥은 손으로 찢어 준비해 주세요. tip 대파의 속심 부분은 잘게 썰어 양념재료와 함께 섞어주세요.)', 'Step 2: 달군 팬에 식용유를 넉넉히 두르고 다진 마늘과 대파 흰 부분을 넣어 볶아주세요.', 'Step 3: 마늘과 파의 향이 올라오면 표고버섯과 양파를 넣어 볶다가 양념재료를 넣어 졸이듯이 볶아주세요.', 'Step 4: 마지막에 불을 끄고 대파 푸른 부분을 넣고 참기름을 둘러주세요.', 'Step 5: 그릇에 밥을 담고 완성된 표고버섯볶음을 얹은 후 통깨와 레드페퍼를 뿌려 맛있게 즐겨주세요.']"
한식,냉이 차돌박이 솥밥,"['냉이: 한 줌 (200g)', '차돌박이: 200g', '쌀: 2컵 (360g)', '다시마 육수: 2컵', '간장: 1큰술', '다진 마늘: 1큰술', '올리고당: 2큰술', '참기름: ½큰술', '후춧가루: 약간', '다진 양파: ¼ 개', '송송 썬 쪽파: 2줄기', '간장: 2큰술', '맛술: 1큰술', '다진 마늘: ½큰술', '매실청 (올리고당으로\xa0대체 가능): ½큰술', '통깨: 약간']","['Step 1: 쌀을 씻어 30분 정도 불린 후 체에 받쳐 물기를 빼주세요. (tip. 기호에 따라 쌀과 찹쌀을 섞어 만들어도 좋아요)', 'Step 2: 냉이는 뿌리를 깨끗이 다듬어 씻어주세요. 뿌리와 잎 사이를 잘라 2등분 한 후 뿌리는 1센치 길이로 썰고 잎은 2~3등분해 주세요.', 'Step 3: 차돌박이는 키친타올에 올려 핏물을 제거한 후 차돌박이 양념에 넣어 10분 정도 재워주세요.', 'Step 4: 달군 팬에 양념에 재워둔 차돌박이를 넣고 4~5분간 볶은 후 접시에 덜어주세요.', 'Step 5: 냄비에 불린 쌀과 다시마 육수를 넣고 손질해둔 냉이 뿌리를 넣고 뚜껑을 닫아 중불에서 5분간 끓여주세요.  (tip. 냉이의 잎보다 뿌리가 더 질기기 때문에 뿌리를  먼저 넣어 밥을 지으면 더욱 부드럽게 드실 수 있어요)', 'Step 6: 밥물이 끓어오르면 약불로 줄여 15분 정도 익혀주세요. 냉이 잎과 차돌박이를 밥위에 얹고 다시 5분간 익혀주세요. 솥밥의 불을 끄고 5분간 뜸을 들여주세요. (tip. 밥이 거의 익을 때 쯤 냉이 잎을 넣어주면 냉이의 향이 살아있어 더욱 향긋하게 드실 수 있어요)', 'Step 7: 완성된 솥밥에 양념 간장을 곁들여 맛있게 즐겨주세요.']"
한식,얼갈이배추 된장국,"['얼갈이배추: 5포기', '해감 모시조개: 200g', '대파: ½대', '청양고추: 1개', '홍고추: 1개', '소금: 약간', '멸치 다시마 육수: 5컵', '된장: 3큰술', '다진 마늘: 1큰술', '고춧가루: ½큰술']","['Step 1: 냄비에 멸치  다시마육수를 붓고 해감한 모시조개를 넣어 끓이다가 조개가 익어 입을 벌리면 건져내고, 육수는 가라앉힌 후 위 육수만 따라내어 준비해 주세요. (tip 건져 낸 모시조개는 육수에 흔들어 남아 있는 모래를 제거해 주세요.)', 'Step 2: 얼갈이배추는 밑둥을 자른 후 물에 씻고 끓는 물에 약간의 소금을 넣고 얼갈이배추의 흰부분부터 넣어 1~2분간 데친 후 찬물에 헹궈 물기를 살짝 제거해주세요.', 'Step 3: 얼갈이는 먹기 좋은 크기로 잘라 얼갈이 양념재료에 조물조물 버무려 밑간하고 고추는 어슷하게 썰고 대파는 길이로 반 가른 후 6cm 길이로 썰어주세요. (tip 된장의 염도에 따라 된장 양을 가감해서 양념을 조절해 주세요.)', 'Step 4: 냄비에 육수를 붓고 끓어오르면 양념한 얼갈이배추를 넣고 중간불에서 3분 정도 끓여주세요.', 'Step 5: . 마지막에 모시조개와 대파, 고추를 넣어 한소끔 더 끓여 맛있게 즐겨주세요.(tip 부족한 간은 소금을 가감해 조절해 주세요.)']"
